english;finnish
apple;omena
carrot;porkkana
sweet pepper;paprika
onion;sipuli
tomato;tomaatti
cucumber;kurkku
asparagus;parsa
broccoli;broccoli
avocado;avokado
beet;punajuuri
cauliflower;kukkakaali
aubergine;munakoiso
garlic;valkosipuli
potato;peruna
spinach;pinaatti
pumpkin;kurpitsa
banana;banaani
cherry;kirsikka
lemon;sitruuna
peach;persikka
pineapple;ananas
watermelon;vesimeloni
pear;päärynä
strawberry;mansikka
grape;viinirypäle
juice;mehu
beer;olut
champagne;samppanja
red wine;punaviini
cheese;juusto
milk;maito
yogurt;jogurtti
egg;muna
cream;kerma
kefir;piima
bacon;pekoni
sausage;makkara
chocolate;suklaa
ice cream;jäätelö
honey;hunaja
jam;hillo
muffin;muffinssi
pancake;pannukakku
popcorn;popcorn